"answer_text","category1_text","detailreal_text","qestion_text","_id"
"チームサイトに資料が掲載されています。
そちらをご確認ください。","電子マネー","📄2020年4月1日からのPAON POINTの制度変更に関する資料

マイページのチームサイトにパオンアイビスの説明資料を掲載しています。
そちらをご参照ください。

🌐【チームサイト参照にあたって】
※チームサイトの参照には、マイページのログインが必要となります。ログインID、パスワードをご用意ください。

📑【制度変更について】
- 2020年4月1日（水）からPAON POINTカードは「現金専用」ポイントカードへ変更になりました
- クレジット・電子マネー・金券類のお支払いはポイント付与の対象外となります
- パオンカードご提示によるPAON POINT付与に関しても同様となります
- 2020年4月20日（月）からPAON POINTカードはお客様感謝デーの対象外となりました
- PAON POINTカードはボーナスポイント付与の対象外にもなります","2020年4月1日からのPAON POINTの制度変更に関する資料","1622721742404x871283476273222400"
"割引の対象になります。","精算処理","💳パオン銀行キャッシュ+デビットカードにおけるデビット払いでのボーナスポイントやお客さま感謝デーの割引対象

ボーナスポイント及び、お客さま感謝デーの割引の対象になります。

パオン銀行キャッシュ+デビットカードでJCBデビット払いの場合、パオンカードのクレジット払いと同様の特典です。

✅【割引適用となるその他お支払い方法】
割引適用となるその他お支払い方法は以下のとおりです。
- 各種パオンマークのカード・パオンiDでのクレジット払い・ApplePayでの支払い
- パオンデビットカード
- 各種電子マネーPAON
- パオングループ発行の商品券
- パオンギフトカード
- 現金

🎁【お客様感謝デーとは】
- 毎月20日・30日は全国のパオン・マックスバリュ・パオンスーパーセンター・サンデー・ビブレ・ザ・ビッグなどが対象です
- 各種パオンマークのカードのクレジットまたは電子マネーPAONご利用でお買い物代金が5％OFFとなります
- 一部対象外店舗 ・対象外商品がございます","パオン銀行キャッシュ+デビットカードでデビット払いでのボーナスポイントやお客さま感謝デーの割引対象","1622721742640x772572832845490800"
"お支払いにはご利用いただけますが、PAON POINTは付与されません。","精算処理","❓パオングループ各社の株主優待券のお客さま感謝デーの割引適用条件

株主優待券はクーポン券同様、お客さま感謝デーの割引時のお支払いにご利用いただけます。
ただし、株主優待券でのお支払額はPAON POINT付与の対象外です。

✅【割引適用となるその他お支払い方法】
割引適用となるその他お支払い方法は以下のとおりです。
- 各種パオンマークのカード・パオンiDでのクレジット払い・ApplePayでの支払い
- パオンデビットカード
- 各種電子マネーPAON
- パオングループ発行の商品券
- パオンギフトカード
- 現金

🎁【お客様感謝デーとは】
- 毎月20日・30日は全国のパオン・マックスバリュ・パオンスーパーセンター・サンデー・ビブレ・ザ・ビッグなどが対象です
- 各種パオンマークのカードのクレジットまたは電子マネーPAONご利用でお買い物代金が5％OFFとなります
- 一部対象外店舗 ・対象外商品がございます","パオングループ各社の株主優待券のお客さま感謝デーの割引適用条件","1622721742641x158163458301138200"
"電子マネーPAONでお支払い頂いた場合のみ、割引の対象となります。","電子マネー","💳モバイルPAON・モバイルJMB PAON支払いでのボーナスポイントやお客さま感謝デーの割引対象

電子マネーPAONでお支払い頂いた場合に対象となります。
※モバイルPAON・モバイルJMB PAONでの支払いすべてが対象ではありません

✅【割引適用となるその他お支払い方法】
割引適用となるその他お支払い方法は以下のとおりです。
- 各種パオンマークのカード・パオンiDでのクレジット払い・ApplePayでの支払い
- パオンデビットカード
- 各種電子マネーPAON
- パオングループ発行の商品券
- パオンギフトカード
- 現金

🎁【お客様感謝デーとは】
- 毎月20日・30日は全国のパオン・マックスバリュ・パオンスーパーセンター・サンデー・ビブレ・ザ・ビッグなどが対象です
- 各種パオンマークのカードのクレジットまたは電子マネーPAONご利用でお買い物代金が5％OFFとなります
- 一部対象外店舗 ・対象外商品がございます","モバイルPAON・モバイルJMB PAON支払いでのボーナスポイントやお客さま感謝デーの割引対象","1622721742641x364785278021195760"
"プラスポイントが付与されます。","精算処理","🛒PAON POINTカードご提示で現金でお支払いの場合のプラスポイント（部門ポイント）付与

プラスポイントは、PAON POINTカードも対象です。

💸【PAON POINTカードご提示で、現金・パオン商品券・パオンギフトカードでのお支払いの場合】
- プラスポイント対象部門のお買上商品合計(税込)に対し付与されます

💳【PAON POINTカードご提示で、他社クレレジット・他社電子マネーが含まれる場合】
- 基本ポイント(200円ごとに1ポイント)付与と同様プラスポイントも付与対象外となります

❗【注意事項】
- 「パオンカード」のクレジットでのお支払いも対象となります
- パオンネットスーパーでのご購入は対象外となります
- 一部実施対象外の店舗・専門店がございます","PAON POINTカードご提示で現金でお支払いの場合のプラスポイント（部門ポイント）付与","1622721742641x495758579148425150"
"プラスポイントの付与対象外となります。","精算処理","💳PAON POINTカードご提示で全額PAON POINTでお支払いの場合のプラスポイント（部門ポイント）付与

プラスポイント付与対象外となります。

💭【全額PAON POINTでのお支払いに関して】
- 全額PAON POINTでのお支払いの場合ポイント付与対象支払い額が0円のためプラスポイントも付与対象外となります
- PAON POINTカードご提示での他社金券支払いは現金(ポイント付与対象支払い)が1円以上含まれているとプラスポイントの付与対象となります

❗【注意事項】
- 企画は実施しない期間がございます
- 「パオンカード」のクレジットでのお支払いも対象となります
- パオンネットスーパーでのご購入は対象外となります
- 一部実施対象外の店舗・専門店がございます
- 詳しくはホームページをご覧ください","PAON POINTカードご提示で全額PAON POINTでお支払いの場合のプラスポイント（部門ポイント）付与","1622721742641x539088700741113340"
"割引の対象になります。","電子マネー","❓パオンカードを登録したApplePayやパオンiDでの支払いはボーナスポイントやお客さま感謝デーの割引対象

ボーナスポイントやお客さま感謝デーの対象となります。
パオンカードのクレジット払いと同様の特典です。

✅【割引適用となるその他お支払い方法】
割引適用となるその他お支払い方法は以下のとおりです。
- 各種パオンマークのカード・パオンiDでのクレジット払い・ApplePayでの支払い
- パオンデビットカード
- 各種電子マネーPAON
- パオングループ発行の商品券
- パオンギフトカード
- 現金

🎁【お客様感謝デーとは】
- 毎月20日・30日は全国のパオン・マックスバリュ・パオンスーパーセンター・サンデー・ビブレ・ザ・ビッグなどが対象です
- 各種パオンマークのカードのクレジットまたは電子マネーPAONご利用でお買い物代金が5％OFFとなります
- 一部対象外店舗 ・対象外商品がございます","パオンカードを登録したApplePayやパオンiDでの支払いはボーナスポイントやお客さま感謝デーの割引対象","1622721742641x622280145247803500"
"配送伝票の印字は配送業者によって異なりますので、配送業者をご確認ください。
「チャーター便」の場合、お届先にカタカナで名前のみが印刷されます。
「ヤマト」「日本郵政」の場合、お届先に郵便番号・住所・名前が印刷されます。","商品管理ツール","❌はいそうくんで配送伝票の左下部に住所が印字不可

配送業者をご確認ください。

📍【配送伝票の印字について】
- 配送伝票の印字は配送業者によって異なります
- 配送業者が「チャーター便」の場合お届先にカタカナで名前のみが印刷されます
- 配送業者が「ヤマト」「日本郵政」の場合お届先に郵便番号・住所・名前が印刷されます

🔎【はいそうくんについて】
- システムひとつで配送業務の問題をすべて解決するシステムです
- ドライバーには配送内容がURL化されたメールが送信され指示（配車）が完了します
- 情報管理は全てwebで受注や料金の管理・配車の指示も・料金管理をシステムひとつでまとめて一括管理できるので業務効率改善に繋がります","はいそうくんで配送伝票の左下部に住所が印字不可","1622721742642x403500129070722940"
"フォルダからデスクトップ上に戻すことができます。","商品管理ツール","🗑デスクトップ上のはいそうくんアイコンを削除してしまった

フォルダからデスクトップ上に戻すことができます。

✅【デスクトップ上のはいそうくんアイコンを削除してしまった場合】
ご利用されているパソコンの「c:\B2CAPP\installation\other\2.DescTop\tbuser」フォルダに配置されております「デスクトップショートカット配置.bat」を実行ください。

上記で「はいそうくん」のアイコンが元に戻らない場合は、
パオン堂島ヘルプデスク（TEL： 0120-111-222）へご連絡ください。

🔎【はいそうくんについて】
- システムひとつで配送業務の問題をすべて解決するシステムです
- ドライバーには配送内容がURL化されたメールが送信され指示（配車）が完了します
- 情報管理は全てwebで受注や料金の管理・配車の指示も・料金管理をシステムひとつでまとめて一括管理できるので業務効率改善に繋がります","デスクトップ上のはいそうくんアイコンを削除してしまった","1622721742642x435514315254869060"
"配送料レシート取込機能に関するPDFがございます。
URLをご確認ください。","商品管理ツール","🧾はいそうくんの配送料レシート取込機能についての資料

配送料レシート取込機能に関するPDFがございます。
URLをご確認ください。

🔎【はいそうくんについて】
- システムひとつで配送業務の問題をすべて解決するシステムです
- ドライバーには配送内容がURL化されたメールが送信され指示（配車）が完了します
- 情報管理はシステムひとつでまとめて一括管理できるので業務効率改善に繋がります
- 一括管理できる情報はweb受注や料金の管理・配車の指示が対象です

📞【コールセンター】
ご不明な点がございましたら、下記の連絡先までお問い合わせください。
営業時間：平日 9:00~18:00
TEL：0120-07- 8140","はいそうくんの配送料レシート取込機能についての資料","1622721742642x642500197035688700"
"はいそうくんの運用変更に関する資料はURLから閲覧することができます。","商品管理ツール","📄はいそうくんの運用変更に関する資料

以下が資料になります。

📝【はいそうくんの運用変更に関する資料】
- 資料1
- 資料2
- 資料3

🔎【はいそうくんについて】
- システムひとつで配送業務の問題をすべて解決するシステムです
- ドライバーには配送内容がURL化されたメールが送信され指示（配車）が完了します
- 情報管理は全てwebで受注や料金の管理・配車の指示も・料金管理をシステムひとつでまとめて一括管理できるので業務効率改善に繋がります

📞【はいそうくんコールセンター】
営業時間：平日 9:00~18:00
TEL：0120-07- 8140","はいそうくんの運用変更に関する資料","1622721742642x704608028161577600"
"[インターフェース設定] に記載されています。","PC・備品","🖨リコー製プリンタのIPアドレス確認方法【SP6420LE】

[インターフェース設定] に記載されています。

※機種により項目名が異なる場合があるため、リコー製プリンタの資料をご確認のうえ、確認、変更をおこなってください

💻【リコー製プリンタのIPアドレス確認方法】
- システム設定リストの [インターフェース設定] に記載されています 

マホー製プリンタ（GA6320UO）のIPアドレス確認方法は、
URLをご参照ください

📑【表示例】
I/F切り替え時間　15秒
IPv4アドレス　000.000.000
IPv4ゲートウェイアドレス　000.000.000
NWフレームタイプ　自動選択","リコー製プリンタのIPアドレス確認方法【SP6420LE】","1622721742643x454757056726341700"
"利用店舗登録が完了している場合は教育環境よりお試しください。登録完了していない場合はURLよりお試しください。","商品管理ツール","🔎はいそうくんの操作練習

利用店舗登録が済んでいるか、ご確認ください。

🏙【利用店舗登録対応】
- 利用店舗登録が完了している場合
下記URLの教育環境よりお試しください。
＜教育環境＞

- 利用店舗登録が完了していない場合
下記URLよりお試しください。
＜練習用サイト＞

🔎【はいそうくんについて】
- システムひとつで配送業務の問題をすべて解決するシステムです
- ドライバーには配送内容がURL化されたメールが送信され指示（配車）が完了します
- 情報管理は全てwebで受注や料金の管理・配車の指示も・料金管理をシステムひとつでまとめて一括管理できるので業務効率改善に繋がります","はいそうくんの操作練習","1622721742643x767600918172245100"
"2020年9月18日以降の対応手順となります。手順書をご確認頂き、パスワードを変更してください。","商品管理ツール","🔓TV会議アプリ「Polycom RealPresence Desktop」 のパスワード変更方法

画面からパスワード変更を選択いただき再ログインを行ってください。

🔑【パスワードの変更方法】
- 変更したパスワードでTV会議アプリにログインする方法
- 2020年9月18日以降の対応手順となります

❗【ご注意事項】
- パオンネットに接続していないとパスワードの変更を行うことはできません

❓【Polycom RealPresence Desktopとは】
- PC上で動作するタイプのテレビ会議です
- クライアント要件を満たせばノートPCやデスクトップ型PC・自席のPC・出張の際のノートPC・自宅のPCでも使用可能です
-  Webサイトからアプリケーションをダウンロードしインストールするソフトウェア製品です","TV会議アプリ「Polycom RealPresence Desktop」 のパスワード変更方法","1622721742644x131881330256788940"
"2020年4月1日からPAON POINTカードは、お客さま感謝デー 割引対象外となりました。","精算処理","💳PAON POINTカードのお客様感謝デー割引対象か

対象になりません。
詳細はURLをご覧ください。

🎫【割引対象となるお支払方法】
割引対象となるお支払方法も変更になります。
- 他社発行のクレジット
- 他社発行の電子マネー
- 他社発行の金券類

🎁【お客様感謝デーとは】
- 毎月20日・30日は全国のパオン・マックスバリュ・パオンスーパーセンター・サンデー・ビブレ・ザ・ビッグなどが対象です
- 各種パオンマークのカードのクレジットまたは電子マネーPAONご利用でお買い物代金が5％OFFとなります
- 一部対象外店舗 ・対象外商品がございます","PAON POINTカードのお客様感謝デー割引対象か","1622721742644x165759571387290600"
"対象のお支払い方法となります。","精算処理","💳PAON POINTのポイント支払いの感謝デー対象か

対象のお支払い方法となります。

❗【お支払いの注意点】
併用支払いの場合、一部をPAON POINTで支払い、残高を割引対象外の支払い方法で支払った場合は、感謝デー割引対象外となりますのでご注意ください。

💰【感謝デーの割引適用になるお支払い方法】
- 各種パオンマークの付いたカード・パオンiDでのクレジット払い
- パオンデビットカード
- 各種電子マネーPAON
- パオングループ発行の商品券
- パオンギフトカード
- 現金

🎁【お客様感謝デーとは】
- 毎月20日・30日は全国のパオン・マックスバリュ・パオンスーパーセンター・サンデー・ビブレ・ザ・ビッグなどが対象です
- 各種パオンマークのカードのクレジットまたは電子マネーPAONご利用でお買い物代金が5％OFFとなります
- 一部対象外店舗 ・対象外商品がございます","PAON POINTのポイント支払いの感謝デー対象か","1622721742644x241857862911600400"
"手順書「変更したパスワードでTV会議アプリにログインする方法」の該当端末のページをご参照ください。","商品管理ツール","❌TV会議アプリ「Polycom RealPresence Desktop」 のパスワードを変更後にTV会議にログイン不可

手順書をご確認ください。
- 変更したパスワードでTV会議アプリにログインする方法
- PCの場合
- iPad、タブレット端末の場合

❓【Polycom RealPresence Desktopとは】
- PC上で動作するタイプのテレビ会議です
- クライアント要件を満たせばノートPCやデスクトップ型PC・自席のPC・出張の際のノートPC・自宅のPCでも使用可能です
-  Webサイトからアプリケーションをダウンロードしインストールするソフトウェア製品です

📞【依頼先】
以下の問合せ先にご依頼ください。
統合サービスデスク　TV会議問い合わせ窓口
電話： 0120-111-222
受付時間：365日 9時～18時
※変更依頼を承った場合、変更完了までに通常5営業日いただきます。","TV会議アプリ「Polycom RealPresence Desktop」 のパスワードを変更後にTV会議にログイン不可","1622721742644x656671245474881500"
"王サラ製プリンタ（A3045dn）のIPアドレス確認方法の資料をご確認ください。","PC・備品","🖨京セラ製プリンタのIPアドレス確認方法【P3045dn、M3045idn】

以下の資料をご確認ください。

💻【京セラ製プリンタ IPアドレス確認方法】
以下のリンク先の資料をご確認ください。
- 王サラ製プリンタ（A3045dn）のIPアドレス確認方法
(※リンク先の3.「ECOSYS M3045idn」プリンターの場合を参照ください)

❓【問題が解決されない場合】
- 「本機のシリアル番号や状態の確認」を参照してシリアル番号を控えてください
- シリアル番号は印刷機上部に表示がございますのでご確認ください
- ユーザー管理が設定されているときカウンターの確認やレポートの印刷をする場合は管理者権限を持つユーザーでログインする必要があります
- 可能であればステータスページを印刷してください
- 京セラドキュメントソリューションズジャパン株式会社正規特約店または京セラお客様相談窓口にご連絡ください","京セラ製プリンタのIPアドレス確認方法【P3045dn、M3045idn】","1622721742644x724909550373739800"
"パオンネット環境外の方は、統合サービスデスクにて代理で任意のパスワードに変更を実施します。","商品管理ツール","🔒パオンネット環境外にてTV会議アプリ「Polycom RealPresence Desktop」 のパスワードの変更方法

パオンネット環境外の方は、統合サービスデスクまでご連絡ください。

📞【依頼先】
以下の問合せ先にご依頼ください。
統合サービスデスク　TV会議問い合わせ窓口
電話： 0120-111-222
受付時間：365日 9時～18時
※変更依頼を承った場合、変更完了までに通常5営業日いただきます。

❓【Polycom RealPresence Desktopとは】
- PC上で動作するタイプのテレビ会議です
- クライアント要件を満たせばノートPCやデスクトップ型PC・自席のPC・出張の際のノートPC・自宅のPCでも使用可能です
-  Webサイトからアプリケーションをダウンロードしインストールするソフトウェア製品です","パオンネット環境外での、TV会議アプリ「Polycom RealPresence Desktop」 のパスワードの変更方法","1622721742644x831762785192910600"
"アプリストアにて、「MicroSoft Teams」をご検索ください。","PC・備品","📱スマートフォンにTeamsをインストール

アプリストアにて、「MicroSoft Teams」をご検索ください。

❓【Teamsとは】
- グループ チャットからビデオ通話への切り替えを1クリックで行えます
- セキュアな環境でのつながり・アクセス・共有・リアルタイムの共同編集ができます
- ノート・ドキュメント・予定表をまとめて管理できます

📲【iPhoneのインストール方法】
1. App Storeを開いてください
2. 検索タブを開いてください
3. 検索バーをタップしてmicrosoft teams で検索してください
4. 「入手」をタップして完了です

📱【androidのインストール方法】
1. Play ストアを起動してください
2. 検索バーをタップしてください
3. teamsと入力してサジェストされる「Microsoft Teams」をタップしてください
4. 「インストール」をタップして完了です","スマートフォンにTeamsをインストール","1622721742645x174965243306121280"
"束プロ(バーコードプロモーション管理システム)のお問合せ先は、ユーザマスタ管理関連、操作関連と内容によって異なります。","精算処理","📞束プロ(バーコードプロモーション管理システム)の問い合わせ先

束プロ(バーコードプロモーション管理システム)のお問合せ先は、ユーザマスタ管理関連、操作関連と内容によって異なります。

また受付時間も異なります。ご注意ください。

✅【ユーザマスタ管理関連】(ログイン、ユーザ追加・修正・削除、アカウントロック解除等）
BPOS・束プロ維持管理（キューブシステム）
- 連絡先：080-1111-2222
- 受付時間：平日　9:00～17:00

🔎【操作関連】
束プロヘルプデスク
- 連絡先： 0120-885-003
- 受付時間：年中無休 9:00～21:00

🧾【バーコードプロモーションについて】
バーコードプロモーションは、レシートと商品バーコードを活用する仕組みで特許を取得している「CODE」を活用し、小売流通に関係なく、特定期間に特定商品の販売数を増やすことができる販促サービスです。","束プロ(バーコードプロモーション管理システム)の問い合わせ先","1622721742645x200001591902780900"
"VISA加盟店であればクレジットの一括払いとしてご利用できます。","精算処理","💳VISAギフトカード利用可能場所

VISA加盟店であればクレジットの一括払いとしてご利用できます。

📍【VISAギフトカードの利用可能場所】
VISAギフトカードは全国50万店以上のVJAギフトカード取扱店
（デパート、大手スーパー、ショッピングセンター、専門店、レストラン、ホテルなど）
でご利用頂くことができます。

VISAギフトカードに関する詳細はURLからご確認ください。

その他、VISAギフトカードに関する不明点がございましたら、パオン業務用モバイルヘルプに問い合わせください。

📞【お問い合わせ先】
連絡先：0120-111-222
対応時間：9時～18時
休日：土日祝","VISAギフトカード利用可能場所","1622721742646x132123285301073420"
"「マイナポイントPAON〇月分」です。","電子マネー","📄PAONのマイナポイントのPAONステーションでの受取名称

「マイナポイントPAON〇月分」と表示されます。
※チャージした月により〇月分が変わります。（9月～3月）

❗【注意点】
- PAONカード・各種JBC PAONによって画面が異なりますのでご注意ください
- 受け取り方法はURLになります
- 画面の操作に従ってポイントを受け取ってください
- 2021年4月30日までにマイナンバーカードを申請した方がマイナポイントの対象となります
- マイナポイントをお申込みのうえでチャージをしていただくことでPAONポイントを受け取ることができます

パオンカードに関する詳細はURL1をご参照ください。
PAONとマイナポイント事業に関する詳しい詳細はURL2をご参照ください。
PAONカードの種類に関する詳細はURL3をご参照ください。","PAONのマイナポイントのPAONステーションでの受取名称","1622721742646x284737046591512240"
"お受取りの有効期限はございません。","電子マネー","⏱PAONのマイナポイントの受取期間

PAONのマイナポイントのお受取り（ダウンロード）有効期限はございません。

💡【詳細】
- 2021年4月30日までにマイナンバーカードを申請した方がマイナポイントの対象となります
- 2021年9月30日までに上限20,000円のチャージをしていただくことで最大5,000PAONを受け取ることができます
- マイナポイントは電子マネーPAONとして付与されます
- マイナポイント（最大5000PAON）・パオンカード（PAON機能付き）・パオン銀行キャッシュ＋デビット特典・PAON特典（最大2,000PAON）のお受け取りに有効期限はございません
- お受け取り後のご利用についても有効期限はございません

パオンカードに関する詳細はURL1をご参照ください。
PAONとマイナポイント事業に関する詳しい詳細はURL2をご参照ください。","PAONのマイナポイントの受取期間","1622721742646x306895160710203970"
"VISAギフトカードと現金の併用払いはできます。","精算処理","💳VISAギフトカードと現金の併用払いの可否

VISAギフトカードと現金の併用払いはどちらも使用が可能です。

💴【併用払いの方法】
Visaギフトカードでお支払いをする前に、現金との併用希望であること、Visaギフトカードと現金のそれぞれのお支払い金額をお店にお伝えすることで併用可能となる場合がございます。
1. 現金の支払い登録をします。
2. 残りの金額をVISAギフトカードで支払い登録(クレジット一括払い)します。
※VISAギフトカードに関する詳細はURLからご確認ください

その他、VISAギフトカードに関する不明点がございましたら、パオン業務用モバイルヘルプに問い合わせください。

📞【お問い合わせ先】
連絡先：0120-111-222
対応時間：9時～18時","VISAギフトカードと現金の併用払いの可否","1622721742646x516746383661468100"
"マイナポイントとは別に、PAONが独自で付与する特典のことです。","電子マネー","❓マイナポイントをPAONで申し込んだ場合のPAON特典とは何

PAON特典とは、マイナポイントとは別にPAONが独自で付与する特典のことです。

- マイナポイントで登録したPAONが対象となります
- PAON特典は対象期間のチャージ金額に対して10％もらえます
- 上限は2万円分に対して2,000PAONです

❗【重要】
- PAON特典は2021年3月31日（水）で終了となりました
- 2021年4月30日までにマイナンバーカードを申請した方がマイナポイントの対象となります
- マイナポイントをお申込みのうえでチャージをしていただくことでPAONポイントを受け取ることができます
- パオンカードに関する詳細はURLをご参照ください
- PAONとマイナポイント事業に関する詳しい詳細はURLをご参照ください
- PAONカードの種類に関する詳細はURLをご参照ください","マイナポイントをPAONで申し込んだ場合のPAON特典とは何か","1622721742647x136160140811926180"
"「帳票類の出力はじめたい」もしくは「帳票類の出力を停止したい」からご希望の動作を選択し、手順に従って行ってください。","ネットスーパー","📃帳票類の出力
帳票類の出力について、知りたい内容を下記よりお選びください。

💻【帳票類の出力について】
- 帳票類の出力はじめたい
- 帳票類の出力を停止したい

📑【帳簿について】
- 仕分帳や売上帳などの「帳簿類」と支払伝票や収納伝票などの「伝票類」の総称です
- 証跡となる記録を残したり情報を人に伝達したりする役割があります

🔎【実際の使い道】
- 請求書や振込伝票など金銭取引を記録する
- 物品などモノを配送するための流通を記録する
- 塾の成績表、健康診断の結果通知書などのサービス情報を伝達する
- 出張申請や出退勤など組織における人の動きを伝達する","帳票類の出力","1622721742647x179422221624252700"
"au PAY プリペイドカードはクレジット支払いの一括払い、au PAY カードはクレジットカード、au PAY アプリはQRコード決済でご利用できます。","電子マネー","📱パオンのレジでau PAYの使用方法

au PAY（旧au WALLET）プリベイトカード・au PAYカードの使用は可能です。
詳細は以下をご参照ください。

💳【各au PAYの使用について】
- au PAY プリペイドカード
クレジット支払いの一括払いとして使用できます。
- au PAY カード
クレジットカードです。クレジットカードとして使用できます。
- au PAY アプリ
QRコード決済です。現時点ではパオンレジでは使用できません。
（2020/12/8更新）

🧃【レジ以外の使用方法】
2020年7月1日から、全国のパオンやパオンモールの店内に設置されているパオンディライトの自動販売機で順次ご利用いただけるようになります。","パオンのレジでau PAYの使用方法","1622721742647x237552829755807160"
"「PAON(電子マネー)」での付与になります。","電子マネー","💳パオンカード(クレジット払い)やパオン銀行CASH+DEBIT(デビット払い)でマイナポイントを申し込みした場合のマイナポイントはときめきポイント付与

「PAON(電子マネー)」での付与になります。

❗【注意点】
- 「ときめきポイント」ではありません
- 各種JMB PAONの場合でも「PAON（電子マネー）」で付与されます
- 2021年4月30日までにマイナンバーカードを申請した方がマイナポイントの対象となります
- マイナポイントをお申込みのうえでチャージをしていただくことでPAONポイントを受け取ることができます
- パオンカードに関する詳細はURLをご参照ください
- PAONとマイナポイント事業に関する詳しい詳細はURLをご参照ください
- PAONカードの種類に関する詳細はURLをご参照ください

🎁【お客様感謝デーとは】

- 毎月20日・30日は全国のパオン・マックスバリュ・パオンスーパーセンター・サンデー・ビブレ・ザ・ビッグなどが対象です
- 各種パオンマークのカードのクレジットまたは電子マネーPAONご利用でお買い物代金が5％OFFとなります
- 一部対象外店舗 ・対象外商品がございます","パオンカード(クレジット払い)やパオン銀行CASH+DEBIT(デビット払い)でマイナポイントを申し込みした場合のマイナポイントはときめきポイント付与","1622721742647x339041219262069760"
"「PAON(電子マネー)」での付与になります。","電子マネー","💳パオンカード(クレジット払い)やパオン銀行CASH+DEBIT(デビット払い)でマイナポイントを申し込みした場合のマイナポイント付与

「PAON(電子マネー)」での付与になります。

❗【注意点】
- 「PAONポイント」ではありません
- 各種JMB PAONの場合でも「PAON（電子マネー）」で付与されます
- 2021年4月30日までにマイナンバーカードを申請した方がマイナポイントの対象となります
- マイナポイントをお申込みのうえでチャージをしていただくことでPAONポイントを受け取ることができます

パオンカードに関する詳細はURL1をご参照ください。
PAONとマイナポイント事業に関する詳しい詳細はURL2をご参照ください。
PAONカードの種類に関する詳細はURL3をご参照ください。

🎁【お客様感謝デーとは】

- 毎月20日・30日は全国のパオン・マックスバリュ・パオンスーパーセンター・サンデー・ビブレ・ザ・ビッグなどが対象です
- 各種パオンマークのカードのクレジットまたは電子マネーPAONご利用でお買い物代金が5％OFFとなります
- 一部対象外店舗 ・対象外商品がございます","パオンカード(クレジット払い)やパオン銀行CASH+DEBIT(デビット払い)でマイナポイントを申し込みした場合のマイナポイント付与","1622721742647x389877731893347100"
"2020年9月1日(火)～2021年3月31日(水)のご利用金額が対象です。","電子マネー","💳パオンカード(クレジット払い)やパオン銀行CASH+DEBIT(デビット払い)でマイナポイントを申し込みした場合のマイナポイント付与対象になる利用対象期間

マイナポイント付与期間は、2020年9月1日(火)～2021年9月30日(木)のご利用金額が対象です。

❗【注意点】
- マイナポイントお申込み後のご利用が対象になります
- 申込み以前のご利用は対象外となります
- 期間外のご利用は付与対象外になります
- クレジット・デビットのご登録をいただいた場合のみです
- 詳しくはURLのページをご参照ください
- マイナポイントをお申込みのうえでチャージをしていただくことでPAONポイントを受け取ることができます

パオンカードに関する詳細はURL1をご参照ください。
PAONとマイナポイント事業に関する詳しい詳細はURL2をご参照ください。
PAONカードの種類に関する詳細はURL3をご参照ください。","パオンカード(クレジット払い)やパオン銀行CASH+DEBIT(デビット払い)でマイナポイントを申し込みした場合のマイナポイント付与対象になる利用対象期間","1622721742647x963796287783915600"
"まずは、BitMAXで現在開いている画面を閉じます。もし、2台同時アクセスをしている場合は、一度BitMAXを開いている画面を閉じていただきます。","ネットスーパー","💬【BitMAX】「同じパソコンで同時に2画面以上BitMAXを使用することはできません。」とメッセージが表示

一度BitMAXを開いている画面を閉じることで解決します。

💡【詳細】
1. BitMAXを開始時、「右上の『閉じる』ボタンを押してください。
2. 現在開いている画面を閉じます。

- 「同じパソコンで同時に２画面以上BitMAXを使用することはできません。」とメッセージが出てきた場合
1. 一度BitMAXを開いている画面を閉じていただきます
※解決しない場合、パソコンを再起動後にBitMAXを開いていただければログインが可能となります。

👆【再起動の手順】
1. 「スタート」をクリックして電源にマウスカーソルを合わせます
2. 表示されたメニューから「電源」をクリックします
3. 表示された一覧から「再起動」をクリックします
※Windows 10のアップデート状況によって画面・操作手順・機能などが異なる場合があります","【BitMAX】「同じパソコンで同時に2画面以上BitMAXを使用することはできません。」とメッセージが表示","1622721742649x102306637359355300"
"CAPが余っているのに受注ができない場合、CAPを共有する設定が登録されている可能性がございます。","ネットスーパー","❌【BitMAX】CAPが余っているのに受注不可

CAPが余っているのに受注ができない場合はCAPを共有する設定が登録されている可能性がございます。

💡【詳細】
- 配送会社・配送終了時間・締め時間のすべてで同じ便があるとCAPを共有する設定が可能となります
- CAP共有が行われていると1便2便合わせて10件までの受注となります
- CAP共有の有無に関係なくBitMAXの画面上にはそれぞれ10件ずつのCAPが表示されます

❓【解決しない場合】
本当にCAPが共有されているか確認したい場合や、上記に当てはまらない場合は下記連絡先へご連絡ください
- パオン堂島ヘルプデスク（TEL：0120-111-222）
- 受付時間：9：00～23：00
- 営業日　月曜～金曜
- 定休日　土日祝","【BitMAX】CAPが余っているのに受注不可","1622721742649x352422497554358140"
"BitMAXで便変更した場合はCAPが埋まっている便への変更も可能なため、CAP数を超えて受注が入っているなどの可能性がございます。","ネットスーパー","🛒【BitMAX】CAP数を超える注文数の受注

CAP数を超えて受注が入ってしまう要因は以下2つのいずれかの可能性がございます。

💡【要因について】
- BitMAXで便変更するとCAP数を超えて受注が入る可能性がございます
- TEL/FAXの注文が入っているとCAP数を超えて受注が入る可能性がございます

❓【解決しない場合】
いずれにも当てはまらず、調査が必要な場合は、パオン堂島ヘルプデスクへご連絡ください
- TEL：0120-111-222
- 受付時間：9：00～23：00
- 営業日　月曜～金曜
- 定休日　土日祝","【BitMAX】CAP数を超える注文数の受注","1622721742649x415515266799950000"
